Date,Open,High,Low,Close*,Adj Close**,Volume
Jul 08 2003,1458.51,1458.51,1458.51,1458.51,1458.51,-
Jul 07 2003,1453.07,1453.07,1453.07,1453.07,1453.07,-
Jul 03 2003,1425.97,1425.97,1425.97,1425.97,1425.97,-
Jul 02 2003,1437.61,1437.61,1437.61,1437.61,1437.61,-
Jul 01 2003,1421.03,1421.03,1421.03,1421.03,1421.03,-
Jun 30 2003,1409.48,1409.48,1409.48,1409.48,1409.48,-
Jun 27 2003,1411.97,1411.97,1411.97,1411.97,1411.97,-
Jun 26 2003,1425.82,1425.82,1425.82,1425.82,1425.82,-
Jun 25 2003,1410.10,1410.10,1410.10,1410.10,1410.10,-
Jun 24 2003,1421.86,1421.86,1421.86,1421.86,1421.86,-
Jun 23 2003,1419.24,1419.24,1419.24,1419.24,1419.24,-
Jun 20 2003,1439.54,1439.54,1439.54,1439.54,1439.54,-
Jun 19 2003,1438.09,1438.09,1438.09,1438.09,1438.09,-
Jun 18 2003,1460.32,1460.32,1460.32,1460.32,1460.32,-
Jun 17 2003,1462.48,1462.48,1462.48,1462.48,1462.48,-
Jun 16 2003,1461.15,1461.15,1461.15,1461.15,1461.15,-
Jun 13 2003,1429.11,1429.11,1429.11,1429.11,1429.11,-
Jun 12 2003,1443.41,1443.41,1443.41,1443.41,1443.41,-
Jun 11 2003,1441.86,1441.86,1441.86,1441.86,1441.86,-
Jun 10 2003,1423.11,1423.11,1423.11,1423.11,1423.11,-
Jun 09 2003,1410.21,1410.21,1410.21,1410.21,1410.21,-
Jun 06 2003,1427.28,1427.28,1427.28,1427.28,1427.28,-
Jun 05 2003,1430.64,1430.64,1430.64,1430.64,1430.64,-
Jun 04 2003,1424.91,1424.91,1424.91,1424.91,1424.91,-
Jun 03 2003,1403.29,1403.29,1403.29,1403.29,1403.29,-
Jun 02 2003,1396.70,1396.70,1396.70,1396.70,1396.70,-
May 30 2003,1391.72,1391.72,1391.72,1391.72,1391.72,-
May 29 2003,1371.51,1371.51,1371.51,1371.51,1371.51,-
May 28 2003,1376.58,1376.58,1376.58,1376.58,1376.58,-
May 27 2003,1373.86,1373.86,1373.86,1373.86,1373.86,-
May 23 2003,1347.49,1347.49,1347.49,1347.49,1347.49,-
May 22 2003,1345.53,1345.53,1345.53,1345.53,1345.53,-
May 21 2003,1333.33,1333.33,1333.33,1333.33,1333.33,-
May 20 2003,1327.87,1327.87,1327.87,1327.87,1327.87,-
May 19 2003,1329.38,1329.38,1329.38,1329.38,1329.38,-
May 16 2003,1363.32,1363.32,1363.32,1363.32,1363.32,-
May 15 2003,1366.59,1366.59,1366.59,1366.59,1366.59,-
May 14 2003,1355.76,1355.76,1355.76,1355.76,1355.76,-
May 13 2003,1359.74,1359.74,1359.74,1359.74,1359.74,-
May 12 2003,1363.61,1363.61,1363.61,1363.61,1363.61,-
May 09 2003,1346.68,1346.68,1346.68,1346.68,1346.68,-
May 08 2003,1327.42,1327.42,1327.42,1327.42,1327.42,-
May 07 2003,1340.87,1340.87,1340.87,1340.87,1340.87,-
May 06 2003,1347.54,1347.54,1347.54,1347.54,1347.54,-
May 05 2003,1336.24,1336.24,1336.24,1336.24,1336.24,-
May 02 2003,1341.28,1341.28,1341.28,1341.28,1341.28,-
May 01 2003,1321.39,1321.39,1321.39,1321.39,1321.39,-
Apr 30 2003,1322.07,1322.07,1322.07,1322.07,1322.07,-
Apr 29 2003,1323.26,1323.26,1323.26,1323.26,1323.26,-
Apr 28 2003,1318.85,1318.85,1318.85,1318.85,1318.85,-
Apr 25 2003,1295.57,1295.57,1295.57,1295.57,1295.57,-
Apr 24 2003,1313.75,1313.75,1313.75,1313.75,1313.75,-
Apr 23 2003,1324.68,1324.68,1324.68,1324.68,1324.68,-
Apr 22 2003,1313.63,1313.63,1313.63,1313.63,1313.63,-
Apr 21 2003,1285.72,1285.72,1285.72,1285.72,1285.72,-
Apr 17 2003,1287.99,1287.99,1287.99,1287.99,1287.99,-
Apr 16 2003,1268.28,1268.28,1268.28,1268.28,1268.28,-
Apr 15 2003,1283.96,1283.96,1283.96,1283.96,1283.96,-
Apr 14 2003,1275.82,1275.82,1275.82,1275.82,1275.82,-
Apr 11 2003,1251.41,1251.41,1251.41,1251.41,1251.41,-
Apr 10 2003,1256.04,1256.04,1256.04,1256.04,1256.04,-
Apr 09 2003,1247.99,1247.99,1247.99,1247.99,1247.99,-
